Date and Time,Cycle Number,Step Type,Run Time (h),Step Time (h),Current (A),cell_voltage,Capacity (Ah),Temperature (°C),Circuit Temperature (°C),Energy (Wh),dVdt (V/h),dIdt (A/h),Step Number,Step position,Power(W)
2025-07-19 15:54:43,1,7,0.4729389,0.4729389,0.49999384,3.90757449,0.23642348,24.709,25.514,0.91881102,0.08113765,0.00032184,1,0,1.95376318
2025-07-19 15:55:43,1,7,0.4896472,0.4896472,0.49999397,3.90891568,0.24477754,24.707,25.542,0.95146075,0.07704668,0.00072413,1,0,1.95443429
2025-07-19 15:56:43,1,7,0.5063556,0.5063556,0.49999428,3.91024711,0.2531316,24.705,25.534,0.98412163,0.08020789,0.00021456,1,0,1.95510117
2025-07-19 15:57:43,1,7,0.5230639,0.5230639,0.49999304,3.91156474,0.26148566,24.708,25.53,1.01679357,0.07995995,-0.00024138,1,0,1.95575513
2025-07-19 15:58:43,1,7,0.5397306,0.5397306,0.49999294,3.91287006,0.26981888,24.707,25.561,1.04939497,0.07952606,0.00016092,1,0,1.95640739
2025-07-19 15:59:43,1,7,0.5564389,0.5564389,0.49999377,3.91416654,0.27817294,24.709,25.576,1.08208876,0.07772852,0.00059003,1,0,1.9570589
2025-07-19 16:00:43,1,7,0.5731472,0.5731472,0.49999307,3.91545621,0.286527,24.701,25.565,1.11479337,0.07469128,-0.00050957,1,0,1.95770097
2025-07-19 16:01:44,1,7,0.5898556,0.5898556,0.4999919,3.91673704,0.29488106,24.702,25.55,1.14750868,0.07896821,-0.00099233,1,0,1.95833678
2025-07-19 16:02:44,1,7,0.6065639,0.6065639,0.49999374,3.91800756,0.30323512,24.7,25.527,1.18023465,0.07562105,0.00021456,1,0,1.95897926
2025-07-19 16:03:44,1,7,0.6232722,0.6232722,0.49999337,3.91926267,0.31158918,24.699,25.563,1.2129712,0.07338961,-0.00064367,1,0,1.95960536
2025-07-19 16:04:44,1,7,0.6399806,0.6399806,0.4999933,3.9205177,0.31994324,24.705,25.543,1.24571823,0.07487724,-0.00053639,1,0,1.9602326
2025-07-19 16:05:44,1,7,0.6566889,0.6566889,0.49999357,3.92175685,0.3282973,24.708,25.529,1.27847568,0.07122016,-0.00083141,1,0,1.96085322
2025-07-19 16:06:44,1,7,0.6733972,0.6733972,0.49999387,3.92299453,0.33665136,24.709,25.515,1.31124348,0.07568305,-0.00050957,1,0,1.96147323
2025-07-19 16:07:44,1,7,0.6901056,0.6901056,0.49999387,3.92422004,0.34500542,24.705,25.566,1.34402154,0.07264581,0.00018774,1,0,1.96208598
2025-07-19 16:08:44,1,7,0.7068139,0.7068139,0.49999454,3.92543904,0.35335948,24.695,25.648,1.37680981,0.07245986,0.00101915,1,0,1.9626981
2025-07-19 16:09:45,1,7,0.7235222,0.7235222,0.49999387,3.9266482,0.36171355,24.707,25.7,1.40960825,0.07128215,0.00053639,1,0,1.96330005
2025-07-19 16:10:45,1,7,0.7402306,0.7402306,0.49999434,3.92785124,0.37006761,24.711,25.691,1.44241676,0.07022842,5.364e-05,1,0,1.9639034
2025-07-19 16:11:45,1,7,0.7569389,0.7569389,0.49999371,3.92905266,0.37842167,24.712,25.735,1.47523531,0.0715301,0.00021456,1,0,1.9645016
2025-07-19 16:12:45,1,7,0.7736472,0.7736472,0.4999924,3.93024927,0.38677572,24.71,25.694,1.50806385,0.06979453,-0.00061685,1,0,1.96509476
2025-07-19 16:13:45,1,7,0.7903556,0.7903556,0.49999317,3.93144053,0.39512978,24.711,25.769,1.54090236,0.07245987,-0.00021456,1,0,1.96569341
2025-07-19 16:14:45,1,7,0.8070639,0.8070639,0.49999297,3.9326297,0.40348384,24.713,25.8,1.5737508,0.07568306,0.00010728,1,0,1.9662872
2025-07-19 16:15:45,1,7,0.8237306,0.8237306,0.49999384,3.93380981,0.41181707,24.723,25.833,1.60652721,0.07332765,-0.00024138,1,0,1.96688068
2025-07-19 16:16:46,1,7,0.8404389,0.8404389,0.49999377,3.93498744,0.42017113,24.723,25.851,1.63939542,0.07214995,-0.00056321,1,0,1.96746922
2025-07-19 16:17:46,1,7,0.8571472,0.8571472,0.49999361,3.93616375,0.42852519,24.72,25.79,1.67227349,0.06607547,-0.00048275,1,0,1.96805671
2025-07-19 16:18:46,1,7,0.8738556,0.8738556,0.49999347,3.93735331,0.43687925,24.715,25.722,1.70516143,0.071964,-0.00050957,1,0,1.96865095
2025-07-19 16:19:46,1,7,0.8905639,0.8905639,0.49999327,3.93853535,0.44523331,24.727,25.736,1.73805926,0.06911272,-0.00088505,1,0,1.96924117
2025-07-19 16:20:46,1,7,0.9072722,0.9072722,0.49999391,3.93972507,0.45358737,24.725,25.748,1.770967,0.07208797,0.0,1,0,1.96983853
2025-07-19 16:21:46,1,7,0.9239806,0.9239806,0.49999317,3.94091006,0.46194143,24.723,25.747,1.80388465,0.06874081,0.00016092,1,0,1.97042811
2025-07-19 16:22:47,1,7,0.9406889,0.9406889,0.49999337,3.94210713,0.47029548,24.73,25.775,1.83681227,0.07338965,-0.00016092,1,0,1.97102744
2025-07-19 16:23:47,1,7,0.9573972,0.9573972,0.4999934,3.9433111,0.47864955,24.727,25.715,1.8697499,0.07196401,0.0002682,1,0,1.97162955
2025-07-19 16:24:47,1,7,0.9741056,0.9741056,0.49999273,3.94451926,0.48700361,24.738,25.612,1.9026976,0.07276981,-0.00050957,1,0,1.97223097
2025-07-19 16:25:47,1,7,0.9908139,0.9908139,0.49999451,3.94574214,0.49535767,24.729,25.56,1.93565544,0.07667484,0.00069731,1,0,1.97284941
2025-07-19 16:26:47,1,7,1.0075222,1.0075222,0.49999381,3.94696222,0.50371173,24.741,25.532,1.96862349,0.07413348,0.0,1,0,1.97345667
2025-07-19 16:27:47,1,7,1.0242306,1.0242306,0.49999233,3.9482006,0.51206578,24.74,25.539,2.00160183,0.07345165,-0.00109961,1,0,1.97407002
2025-07-19 16:28:47,1,7,1.0409389,1.0409389,0.49999317,3.94945485,0.52041984,24.736,25.524,2.03459058,0.07655088,-0.00080459,1,0,1.97470045
2025-07-19 16:29:48,1,7,1.0576472,1.0576472,0.4999932,3.95072019,0.5287739,24.731,25.48,2.06758985,0.07574508,-0.00045593,1,0,1.97533325
2025-07-19 16:30:48,1,7,1.0743556,1.0743556,0.49999357,3.95199854,0.53712796,24.73,25.465,2.10059975,0.07921621,-0.00024138,1,0,1.97597387
2025-07-19 16:31:48,1,7,1.0910639,1.0910639,0.49999408,3.95329139,0.54548202,24.731,25.461,2.1336204,0.07475333,0.00069731,1,0,1.97662227
2025-07-19 16:32:48,1,7,1.1077306,1.1077306,0.49999381,3.95460112,0.55381525,24.739,25.452,2.16656955,0.07741867,0.00072413,1,0,1.97727607
2025-07-19 16:33:48,1,7,1.1244389,1.1244389,0.49999354,3.95593301,0.56216931,24.744,25.492,2.19961212,0.07754264,8.046e-05,1,0,1.97794095
2025-07-19 16:34:48,1,7,1.1411472,1.1411472,0.49999367,3.957289,0.57052337,24.728,25.465,2.23266589,0.08386506,0.0,1,0,1.97861946
2025-07-19 16:35:48,1,7,1.1578556,1.1578556,0.4999931,3.9586556,0.57887742,24.74,25.424,2.26573105,0.08231545,0.00016092,1,0,1.9793005
2025-07-19 16:36:49,1,7,1.1745639,1.1745639,0.4999928,3.96004917,0.58723148,24.742,25.437,2.29880774,0.08051791,-0.00075095,1,0,1.97999608
2025-07-19 16:37:49,1,7,1.1912722,1.1912722,,3.96146715,0.59558554,24.74,25.479,2.33189614,0.08789407,0.00083141,1,0,1.98070864
2025-07-19 16:38:49,1,7,1.2079806,1.2079806,0.4999934,3.96289961,0.6039396,24.738,25.494,2.36499645,0.0825634,8.046e-05,1,0,1.98142367
2025-07-19 16:39:49,1,7,1.2246889,1.2246889,0.49999337,3.96436252,0.61229366,24.735,25.481,2.39810886,0.09062139,0.0001341,1,0,1.98215498
2025-07-19 16:40:49,1,7,1.2413972,1.2413972,0.49999391,3.96584597,0.62064772,24.742,25.494,2.43123356,0.09409253,0.00029502,1,0,1.98289882
2025-07-19 16:41:49,1,7,1.2581056,1.2581056,0.4999929,3.96734894,0.62900178,24.736,25.513,2.46437075,0.08857591,-0.00104597,1,0,1.98364631
2025-07-19 16:42:49,1,7,1.2748139,1.2748139,0.49999377,3.96888011,0.63735584,24.743,25.527,2.49752063,0.08876187,0.00029502,1,0,1.98441534
2025-07-19 16:43:49,1,7,1.2915222,1.2915222,0.49999364,3.97044018,0.6457099,24.73,25.631,2.53068344,0.08975362,-2.682e-05,1,0,1.98519484
2025-07-19 16:44:50,1,7,1.3082306,1.3082306,0.49999387,3.97202637,0.65406396,24.743,25.707,2.56385937,0.09638597,5.364e-05,1,0,1.98598885
2025-07-19 16:45:50,1,7,1.3249389,1.3249389,0.49999431,3.97363642,0.66241802,24.742,25.716,2.59704865,0.09861742,0.00045593,1,0,1.9867956
2025-07-19 16:46:50,1,7,1.3416472,1.3416472,0.49999408,3.97527017,0.67077209,24.745,25.751,2.63025148,0.0999191,0.00018774,1,0,1.98761153
2025-07-19 16:47:50,1,7,1.3583139,1.3583139,0.49999471,3.97692818,0.67910531,24.749,25.765,2.66338521,0.10277039,0.00101915,1,0,1.98844306
2025-07-19 16:48:50,1,7,1.3750222,1.3750222,0.49999421,3.97861773,0.68745938,24.754,25.742,2.69661576,0.10239849,2.682e-05,1,0,1.98928583
2025-07-19 16:49:50,1,7,1.3917306,1.3917306,0.49999243,3.98032757,0.69581344,24.745,25.764,2.72986052,0.10326628,-0.00101915,1,0,1.99013367
2025-07-19 16:50:50,1,7,1.4084389,1.4084389,0.49999361,3.98206864,0.7041675,24.754,25.765,2.76311971,0.10376216,0.0,1,0,1.99100886
2025-07-19 16:51:51,1,7,1.4251472,1.4251472,0.49999381,3.98383489,0.71252157,24.758,25.769,2.79639355,0.1023985,2.682e-05,1,0,1.99189277
2025-07-19 16:52:51,1,7,1.4418556,1.4418556,0.49999273,3.98562632,0.72087563,24.76,25.763,2.82968223,0.10537377,-0.00088505,1,0,1.9927842
2025-07-19 16:53:51,1,7,1.4585639,1.4585639,0.49999357,3.98744371,0.72922969,24.756,25.742,2.862986,0.10500186,-0.00034866,1,0,1.99369623
2025-07-19 16:54:51,1,7,1.4752722,1.4752722,0.49999384,3.9892917,0.73758375,24.775,25.714,2.89630509,0.11429955,5.364e-05,1,0,1.99462128
2025-07-19 16:55:51,1,7,1.4919806,1.4919806,0.4999933,3.99116123,0.74593781,24.769,25.67,2.92963967,0.11082842,-8.046e-05,1,0,1.99555389
2025-07-19 16:56:51,1,7,1.5086889,1.5086889,0.49999397,3.9930544,0.75429187,24.764,25.661,2.96298998,0.1169649,0.00045593,1,0,1.99650314
2025-07-19 16:57:51,1,7,1.5253972,1.5253972,0.49999347,3.99497065,0.76264593,24.763,25.685,2.9963562,0.11504338,-0.00056321,1,0,1.99745925
2025-07-19 16:58:52,1,7,1.5421056,1.5421056,0.49999475,3.99691023,0.77099999,24.776,25.633,3.02973855,0.11516736,0.00115325,1,0,1.99843411
2025-07-19 16:59:52,1,7,1.5588139,1.5588139,0.49999361,3.99887676,0.77935405,24.774,25.557,3.06313721,0.12093193,0.00037548,1,0,1.99941281
2025-07-19 17:00:52,1,7,1.5755222,1.5755222,,4.0008619,0.78770811,24.771,25.534,3.09655236,0.11925835,0.00029502,1,0,2.00040698
2025-07-19 17:01:52,1,7,1.5922306,1.5922306,0.49999347,4.00286973,0.79606217,24.776,25.54,3.12998419,0.12291545,-0.00029502,1,0,2.00140874
2025-07-19 17:02:52,1,7,1.6089389,1.6089389,0.49999371,4.00489539,0.80441623,24.777,25.524,3.16343288,0.1227295,-0.00018774,1,0,2.00242249
2025-07-19 17:03:52,1,7,1.6256472,1.6256472,0.4999931,4.00693833,0.81277029,24.768,25.471,3.19689858,0.12068401,-0.00072413,1,0,2.00344153
2025-07-19 17:04:52,1,7,1.6423139,1.6423139,0.49999287,4.00899955,0.82110352,24.775,25.411,3.23029793,0.12688248,-0.00067049,1,0,2.00447118
2025-07-19 17:05:53,1,7,1.6590222,1.6590222,0.49999334,4.01107952,0.82945758,24.762,25.437,3.26379805,0.12204769,-0.00016092,1,0,2.00551304
2025-07-19 17:06:53,1,7,1.6757306,1.6757306,0.4999929,4.01317064,0.83781164,24.775,25.438,3.29731559,0.12440311,-0.00080459,1,0,2.00655684
2025-07-19 17:07:53,1,7,1.6924389,1.6924389,0.4999927,4.01527254,0.8461657,24.779,25.426,3.33085067,0.12248159,-0.00075095,1,0,2.00760696
2025-07-19 17:08:53,1,7,1.7091472,1.7091472,0.49999471,4.01739094,0.85451976,24.761,25.453,3.36440338,0.12334938,0.00101915,1,0,2.00867423
2025-07-19 17:09:53,1,7,1.7258556,1.7258556,0.49999367,4.01951872,0.86287382,24.735,25.462,3.39797381,0.12812221,0.00018774,1,0,2.00973393
2025-07-19 17:10:53,1,7,1.7425639,1.7425639,0.49999461,4.02165262,0.87122788,24.769,25.486,3.43156203,0.12991977,0.00115325,1,0,2.01080464
2025-07-19 17:11:54,1,7,1.7592722,1.7592722,0.49999387,4.02378838,0.87958194,24.769,25.386,3.46516808,0.13159336,-5.364e-05,1,0,2.01186954
2025-07-19 17:12:54,1,7,1.7759806,1.7759806,0.49999297,4.02592654,0.887936,24.711,25.431,3.49879199,0.12824619,-0.00018774,1,0,2.01293496
2025-07-19 17:13:54,1,7,1.7926889,1.7926889,0.49999424,4.02806896,0.89629005,24.737,25.401,3.53243377,0.1314694,0.00091187,1,0,2.01401129
2025-07-19 17:14:54,1,7,1.8093972,1.8093972,0.4999933,4.03020782,0.90464411,24.788,25.414,3.56609343,0.13159338,0.0001341,1,0,2.01507692
2025-07-19 17:15:54,1,7,1.8261056,1.8261056,0.49999344,4.03234156,0.91299817,24.816,25.416,3.59977096,0.12601477,0.00010728,1,0,2.01614432
2025-07-19 17:16:54,1,7,1.8428139,1.8428139,0.49999364,4.03447546,0.92135223,24.754,25.369,3.6334663,0.12787431,2.682e-05,1,0,2.01721207
2025-07-19 17:17:54,1,7,1.8595222,1.8595222,0.4999931,4.03659402,0.92970629,24.749,25.422,3.66717941,0.12750241,-0.00080459,1,0,2.01826917
2025-07-19 17:18:54,1,7,1.8762306,1.8762306,0.4999927,4.03870792,0.93806035,24.746,25.459,3.70091021,0.12762639,-0.00118007,1,0,2.01932448
2025-07-19 17:19:55,1,7,1.8929389,1.8929389,0.49999307,4.04080843,0.94641441,24.717,25.478,3.73465862,0.12843219,-0.00069731,1,0,2.02037621
2025-07-19 17:20:55,1,7,1.9096472,1.9096472,0.49999253,4.04289297,0.95476847,24.702,25.507,3.76842451,0.12204778,-0.00131416,1,0,2.0214163
2025-07-19 17:21:55,1,7,1.9263556,1.9263556,0.49999367,4.04496651,0.96312254,24.757,25.547,3.80220779,0.12316351,-0.00085823,1,0,2.02245767
2025-07-19 17:22:55,1,7,1.9430639,1.9430639,0.49999401,4.0470234,0.9714766,24.746,25.537,3.83600831,0.12384535,0.00048275,1,0,2.02348745
2025-07-19 17:23:55,1,7,1.9597722,1.9597722,0.49999381,4.04905727,0.97983066,24.728,25.541,3.86982591,0.12012627,0.00018774,1,0,2.02450356
2025-07-19 17:24:55,1,7,1.9764806,1.9764806,0.49999377,4.05107448,0.98818472,24.755,25.523,3.90366044,0.11746094,0.00050957,1,0,2.02551202
2025-07-19 17:25:56,1,7,1.9931889,1.9931889,0.4999934,4.0530707,0.99653878,24.751,25.569,3.93751174,0.12124201,-0.00016092,1,0,2.02650862
2025-07-19 17:26:56,1,7,2.0098556,2.0098556,0.49999384,4.05503585,1.00487201,24.776,25.591,3.97129513,0.11498156,0.0,1,0,2.02749295
2025-07-19 17:27:56,1,7,2.0265639,2.0265639,0.499993,4.05698736,1.01322607,24.758,25.611,4.00517934,0.11572538,-0.0004023,1,0,2.02846529
2025-07-19 17:28:56,1,7,2.0432722,2.0432722,0.49999421,4.05891151,1.02158013,24.778,25.614,4.03907972,0.11522951,0.00032184,1,0,2.02943225
2025-07-19 17:29:56,1,7,2.0599806,2.0599806,0.49999347,4.06080887,1.02993419,24.769,25.632,4.07299608,0.11473364,0.0001341,1,0,2.03037792
2025-07-19 17:30:56,1,7,2.0766889,2.0766889,0.49999357,4.06268096,1.03828825,24.771,25.684,4.10692819,0.11398983,-0.00018774,1,0,2.03131437
2025-07-19 17:31:56,1,7,2.0933972,2.0933972,0.4999933,4.06452368,1.04664232,24.768,25.7,4.14087581,0.10779137,-0.00037548,1,0,2.03223463
2025-07-19 17:32:56,1,7,2.1101056,2.1101056,0.49999327,4.06633418,1.05499638,24.767,25.648,4.1748387,0.1089071,-0.00037548,1,0,2.03313973
2025-07-19 17:33:57,1,7,2.1268139,2.1268139,0.49999424,4.06811825,1.06335044,24.74,25.581,4.20881658,0.10630374,0.00018774,1,0,2.03403571
2025-07-19 17:34:57,1,7,2.1435222,2.1435222,0.49999364,4.06987141,1.07170449,24.755,25.587,4.24280925,0.1056839,-0.00056321,1,0,2.03490982
2025-07-19 17:35:57,1,7,2.1602306,2.1602306,0.49999411,4.07159095,1.08005855,24.778,25.57,4.27681641,0.10221276,0.00064367,1,0,2.03577149
2025-07-19 17:36:57,1,7,2.1769389,2.1769389,0.49999421,4.07327647,1.08841261,24.776,25.561,4.3108378,0.09620025,0.00069731,1,0,2.03661465
2025-07-19 17:37:57,1,7,2.1936472,2.1936472,0.49999357,4.07492704,1.09676667,24.767,25.563,4.34487314,0.09787384,5.364e-05,1,0,2.03743733
2025-07-19 17:38:57,1,7,2.2103556,2.2103556,0.49999327,4.0765443,1.10512073,24.778,25.517,4.37892211,0.09954743,8.046e-05,1,0,2.03824472
2025-07-19 17:39:58,1,7,2.2270639,2.2270639,0.49999434,4.07811941,1.11347479,24.755,25.529,4.41298442,0.09179935,0.00069731,1,0,2.03903664
2025-07-19 17:40:58,1,7,2.2437722,2.2437722,0.4999931,4.07966391,1.12182885,24.767,25.515,4.44705977,0.0916134,0.00064367,1,0,2.03980382
2025-07-19 17:41:58,1,7,2.2604806,2.2604806,0.49999304,4.08116154,1.13018291,24.776,25.538,4.48114782,0.08454714,-0.00053639,1,0,2.04055235
2025-07-19 17:42:58,1,7,2.2771889,2.2771889,0.49999294,4.08262508,1.13853697,24.763,25.523,4.51524825,0.08789432,-0.00077777,1,0,2.0412837
2025-07-19 17:43:58,1,7,2.2938556,2.2938556,0.4999929,4.08403848,1.1468702,24.761,25.497,4.54927561,0.08336944,-0.00056321,1,0,2.04199025
2025-07-19 17:44:58,1,7,2.3105639,2.3105639,0.4999934,4.08541571,1.15522426,24.779,25.515,4.58339969,0.08256364,0.0001341,1,0,2.04268091
2025-07-19 17:45:58,1,7,2.3272722,2.3272722,0.49999394,4.08674644,1.16357832,24.776,25.481,4.61753507,0.0798983,0.00024138,1,0,2.04334846
2025-07-19 17:46:58,1,7,2.3439806,2.3439806,0.49999374,4.08802883,1.17193238,24.764,25.461,4.65168138,0.07283205,0.0,1,0,2.04398882
2025-07-19 17:47:58,1,7,2.3606889,2.3606889,0.49999411,4.08926767,1.18028644,24.77,25.427,4.68583823,0.07568334,8.046e-05,1,0,2.04460974
2025-07-19 17:48:59,1,7,2.3773972,2.3773972,0.49999441,4.09046219,1.1886405,24.772,25.384,4.72000523,0.07369984,0.00024138,1,0,2.04520823
2025-07-19 17:49:59,1,7,2.3941056,2.3941056,0.49999317,4.09159767,1.19699456,24.776,25.397,4.75418197,0.0592574,-2.682e-05,1,0,2.04577089
2025-07-19 17:50:59,1,7,2.4108139,2.4108139,0.49999381,4.09269442,1.20534862,24.771,25.393,4.78836807,0.06477404,0.00072413,1,0,2.04632186
2025-07-19 17:51:59,1,7,2.4275222,2.4275222,0.49999347,4.09374072,1.21370268,24.767,25.375,4.82256312,0.05832763,-0.00029502,1,0,2.04684364
2025-07-19 17:52:59,1,7,2.4442306,2.4442306,0.49999448,4.09474487,1.22205674,24.753,25.433,4.8567667,0.06378229,0.00109961,1,0,2.04734982
2025-07-19 17:53:59,1,7,2.4609389,2.4609389,0.4999933,4.09569053,1.2304108,24.76,25.454,4.8909784,0.06272855,-0.00010728,1,0,2.04781784
2025-07-19 17:55:00,1,7,2.4776472,2.4776472,0.49999317,4.09658868,1.23876486,24.767,25.495,4.92519782,0.05219114,-5.364e-05,1,0,2.04826636
2025-07-19 17:56:00,1,7,2.4943556,2.4943556,0.49999384,4.09744121,1.24711892,24.754,25.533,4.95942456,0.05101344,-0.00016092,1,0,2.04869537
2025-07-19 17:57:00,1,7,2.5110639,2.5110639,0.4999929,4.09824213,1.25547298,24.777,25.516,4.99365824,0.04450504,-0.00069731,1,0,2.04909197
2025-07-19 17:58:00,1,7,2.5277722,2.5277722,0.49999408,4.09901151,1.26382704,24.763,25.545,5.02789847,0.04667451,0.00010728,1,0,2.04948147
2025-07-19 17:59:00,1,7,2.5444806,2.5444806,0.4999934,4.09972906,1.2721811,24.765,25.587,5.06214489,0.04214962,-0.00029502,1,0,2.04983749
2025-07-19 18:00:00,1,7,2.5611889,2.5611889,0.49999414,4.10040764,1.28053516,24.757,25.613,5.09639715,0.036571,0.0002682,1,0,2.0501798
2025-07-19 18:01:01,1,7,2.5778972,2.5778972,0.4999933,4.10105112,1.28888923,24.76,25.591,5.13065494,0.03334779,-0.00037548,1,0,2.0504981
2025-07-19 18:02:01,1,7,2.5946056,2.5946056,0.49999361,4.10166306,1.29724329,24.768,25.601,5.16491795,0.03446352,0.00064367,1,0,2.05080531
2025-07-19 18:03:01,1,7,2.6113139,2.6113139,0.49999424,4.10223511,1.30559735,24.771,25.611,5.19918592,0.03111634,0.00059003,1,0,2.05109394
2025-07-19 18:04:01,1,7,2.6280222,2.6280222,0.49999414,4.10278522,1.31395141,24.78,25.599,5.23345859,0.02913283,0.00096551,1,0,2.05136858
2025-07-19 18:05:01,1,7,2.6447306,2.6447306,0.49999418,4.10331194,1.32230547,24.778,25.6,5.26773574,0.03012458,0.00010728,1,0,2.05163207
2025-07-19 18:06:01,1,7,2.6613972,2.6613972,,4.10381285,1.3306387,24.778,25.534,5.30193171,0.02770718,-0.00018774,1,0,2.05188005
2025-07-19 18:07:01,1,7,2.6781056,2.6781056,0.49999387,4.10430098,1.33899276,24.782,25.458,5.33621727,0.02987665,0.00029502,1,0,2.05212535
2025-07-19 18:08:01,1,7,2.6948139,2.6948139,0.49999351,4.10477222,1.34734682,24.781,25.409,5.37050683,0.02473191,-0.00016092,1,0,2.05235945
2025-07-19 18:09:02,1,7,2.7115222,2.7115222,0.49999324,4.10522959,1.35570088,24.777,25.427,5.40480027,0.02683939,8.046e-05,1,0,2.05258703
